iter,txx,tyy,txy,mu,phi,likelihood
2,0.18899639114845002,0.869869297310174,-0.06289993031330365,0.3776537192324774,0.5846312725955544,0.413353827711812
5,0.06825103363620146,0.6339691071564271,0.0013618580812321255,0.15274189687461523,0.1480081009297836,0.5142453149421737
57,0.9772388280180754,2.088228227927747,0.24707062779916097,0.43335720519700444,0.44114741511794237,0.17681025064892025
115,0.7427781894334083,1.03769919374062,0.06255589304827681,0.1483812093403191,0.024283045431891557,0.02210177797220721
125,0.3573934963482372,1.6458118562138113,-0.22701392373416399,0.26749562737425503,0.04061894349154593,0.38296989291820294
133,0.1910108724754147,1.1128365751893075,-0.1434147627976259,0.5960995116654758,0.6890852791312035,0.4526587657074236
161,0.02889149662925307,1.1928881783510152,0.09869171566489401,0.298790824332052,0.22683434410955328,0.8242023793407458
248,0.06740470848800217,0.4935207139286462,-0.06735490865802352,0.49335338523859984,0.7984367711567023,0.3334846453624745
273,0.0628135693573809,0.1354791749300013,-0.0034645970648525897,0.02535275066937965,0.00920961773805557,0.19697798769920055
285,0.2004819575221077,0.8702428596112737,-0.14313781847656373,0.380215541225236,0.5864964531863537,0.30329384334435994
288,0.4069638495008831,1.2076143858320731,0.16351677518733962,0.28715184906495017,0.37657323057962316,0.4539106209531389
323,1.158746180196746,2.157755992783223,0.18841015804639485,0.5877348187257468,0.585537223590949,0.1003516493252488
331,0.36822494264570654,0.9678318212151871,0.29054251193628566,0.1379320109326324,0.040139378834420966,0.2713737736585737
352,0.25250309540565186,1.1169077508869545,0.0775622822038037,0.27194638126481674,0.32112000189311607,0.6345554214395521
374,1.1664251839706334,1.8500067494146035,0.3931174237511212,0.24578889815151123,0.18291914210150445,0.046405538235382696
377,0.8805815642100207,2.1508660680397007,0.5734896449352068,0.5901168733191783,0.5114842399021748,0.26349157211355106
400,0.06442052749378024,0.3592240096254259,-0.041737373297603284,0.2533419869198469,0.6955872466958706,0.2927512865167486
419,0.7728769179284148,1.4455894513641838,0.34701546401943073,0.6282951664608405,0.657375370074621,0.10913692973202564
445,0.0707148349849066,2.218890812641121,-0.02791886360210525,0.40484421951208066,0.13909252581594264,0.767762787650077
448,0.28084812021035627,1.3314519570341543,0.17623704353996095,0.4458979719423737,0.5041130442853075,0.7496293887517148
487,0.3433532760992888,2.1225858172240923,0.5122211071734596,0.478159250892841,0.3172164865207964,0.989792425689394
503,0.16691776741763945,0.43501647735897087,0.015040622159208981,0.080437770143836,0.036455086206797264,0.2176903790506028
534,0.025520138152481896,0.7859439978289726,-0.09955382068275759,0.1809608127724985,0.050375302114488235,0.499415788819873
561,0.023321105176149073,0.10474831741746729,0.0014916434591116248,0.02957077873953866,0.20975457384434107,0.19486257906011267
608,0.12591320857576987,0.7703771686167125,0.23170195195621957,0.16161942003753013,0.16434045378681433,0.6858355954607752
635,0.11876431101174136,2.1155293372258903,-0.014349770639872627,0.38044522477787796,0.13063171089783412,0.7578169613632455
645,0.20569448781694175,0.6851563279159343,0.07741094131062445,0.216377551586828,0.45730172596820773,0.4220671676662429
661,0.5554051182367923,1.2624550302148805,-0.3504287879537926,0.5398400139075525,0.6803669258851422,0.08591755705192844
707,0.11405832754227417,0.6562136343438276,-0.015960468302948647,0.17149939002475795,0.24602222384199746,0.4590174755345083
708,0.010710183479957284,0.7077050444206168,0.07792596244926951,0.8263858892303824,0.7858733127362052,0.6541525964174018
723,0.18402929766655018,1.628131659625524,0.13443039739185633,0.5832414069331278,0.5193551399960797,0.8267635555884794
740,0.17139062995270377,0.5707079621830077,0.11225090791838328,0.37986752437861465,0.7203572495914417,0.4677979003400973
766,0.4541342863373361,2.277877839450749,-0.4756654911145698,0.3782771759437154,0.18159023104737962,0.3190653678571685
780,0.19501238236762944,0.9669838605535099,0.19117445876856984,0.17149953508143306,0.07239373121750997,0.7752633735046414
783,1.6146135801062647,2.384843357103064,-0.1524302059508147,0.6666463407875343,0.6596968625406132,0.026093530162620837
815,0.8449510249057256,2.1371182603120356,-0.6769582796594016,0.544344079592243,0.5551832336626353,0.10026151187069622
832,1.7215055209288583,2.1602299171295307,0.16413560079524325,0.834639788612936,0.7227187965190731,0.010086937152596521
849,0.22474226249992152,0.9310060870008952,0.14203042316096057,0.4391842867685284,0.6196394156714765,0.6548378461747681
864,0.012935965548401372,0.14770552435616532,-0.017790517227091126,0.05024482854797542,0.26285052193190417,0.2797078841123371
884,0.15744173106375584,0.7692726400255485,0.14760471123175736,0.29073730132731085,0.5160745804305699,0.6829691398732295
891,0.6199702666441552,1.9637754273922614,-0.7780597072197674,0.8358642631886775,0.7917520678045922,0.12020717206293535
938,0.280534666990349,0.5742361899017956,0.09030090826336236,0.15205756892990965,0.4176046033620367,0.1240323335772315
964,0.2415699854770215,0.670076026515705,-0.04063580466648877,0.5938503543508465,0.8108714282549012,0.21681621584012667
968,0.6283714014797971,0.9472901804330088,-0.7396924351361428,0.2544594128641314,0.1306591352112065,0.013668337849289166
1000,0.47866747512058794,2.1376258903571856,-0.028741522226699543,0.3060594356414341,0.06341114193027453,0.5133359400849636
1006,0.127217879419856,0.3259031166858695,0.07103769598308662,0.13914236000157948,0.6143374366825728,0.3242875570153166
1062,0.1306246940981353,1.7315741971265723,-0.01535292230118746,0.7681407920621144,0.6217977096195951,0.7397317619724468
1067,0.41117751017029014,1.6897270185576327,-0.4481733235914192,0.4098337907170563,0.38810309983475244,0.2389934438702149
1080,0.00927265866134935,0.49506400378345555,-0.023828448140732733,0.75610090516392,0.8545551463766754,0.4576836964489173
1081,0.5840100374964843,2.447008445793247,-0.036822946749682124,0.41354098959223307,0.2630844548551678,0.4777059954351623
1091,0.15641501369183722,1.8939829222554179,0.32936021720607844,0.43877423057620385,0.2775974462922554,0.934729071656968
1108,0.840174186639331,2.4829230335727344,-0.07677477361743587,0.4071341247772997,0.3003375505475898,0.28268717328143345
